,user_id,name,username,following_agentid_list,previous_tweets,user_char,description
0,38210037,站姐小眠,粉00_站姐小眠,[],[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
1,36212060,控评阿梨,粉01_控评阿梨,[32],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
2,282859010,数据组小橘,粉02_数据组小橘,[32],[],容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
3,33961330,超话巡逻员,粉03_超话巡逻员,[32],[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
4,21687246,剪辑阿南,粉04_剪辑阿南,[],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
5,2125671,安利小葵,粉05_安利小葵,[],[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
6,429707643,团粉不熬夜,粉06_团粉不熬夜,[],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
7,446811905,唯粉小雨,粉07_唯粉小雨,[32],[],容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
8,18138649,打投小禾,粉08_打投小禾,[32],[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
9,14529063,路透收藏家,粉09_路透收藏家,[32],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
10,837677670,反黑阿青,粉10_反黑阿青,[103],[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
11,124851931,物料搬运工,粉11_物料搬运工,[32],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
12,31734795,弹幕小夏,粉12_弹幕小夏,[32],[],容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
13,14934122,舞台考古员,粉13_舞台考古员,[32],[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
14,105779761,追星小贝,粉14_追星小贝,[32],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
15,2788072188,repo小桃,粉15_repo小桃,[],[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
16,268065930,同担阿圆,粉16_同担阿圆,[32],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
17,35654766,广场清洁工,粉17_广场清洁工,[32],[],容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
18,16509845,热搜观察员,粉18_热搜观察员,[32],[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
19,2531945155,墙头很多,粉19_墙头很多,[32],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
20,18242160,站姐小眠2,粉20_站姐小眠2,"[55, 32]",[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
21,16529278,控评阿梨2,粉21_控评阿梨2,[32],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
22,158743792,数据组小橘2,粉22_数据组小橘2,[],[],容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
23,48005920,超话巡逻员2,粉23_超话巡逻员2,[32],[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
24,15182691,剪辑阿南2,粉24_剪辑阿南2,[],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
25,187260439,安利小葵2,粉25_安利小葵2,[32],[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
26,127677830,团粉不熬夜2,粉26_团粉不熬夜2,[32],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
27,103352503,唯粉小雨2,粉27_唯粉小雨2,[32],[],容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
28,61209773,打投小禾2,粉28_打投小禾2,"[32, 21]",[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
29,802812852,路透收藏家2,粉29_路透收藏家2,[32],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
30,2327585502,反黑阿青2,粉30_反黑阿青2,[],[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
31,385873148,物料搬运工2,粉31_物料搬运工2,[32],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
32,972651,弹幕小夏2,粉32_弹幕小夏2,[21],"['report: amazon plans to open its first physical store, in new york URL']",容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
33,487686275,舞台考古员2,粉33_舞台考古员2,[],[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
34,69935800,追星小贝2,粉34_追星小贝2,[32],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
35,27519265,repo小桃2,粉35_repo小桃2,[],[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
36,97781259,同担阿圆2,粉36_同担阿圆2,[32],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
37,39603334,广场清洁工2,粉37_广场清洁工2,[32],[],容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
38,23508588,热搜观察员2,粉38_热搜观察员2,[],[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
39,244185372,墙头很多2,粉39_墙头很多2,[32],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
40,2809464808,站姐小眠3,粉40_站姐小眠3,"[32, 67]",[],情绪饱满护短,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
41,22720314,控评阿梨3,粉41_控评阿梨3,[32],[],擅长控评和安利,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
42,966316886,数据组小橘3,粉42_数据组小橘3,[],[],容易上头也容易破防,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
43,279029242,超话巡逻员3,粉43_超话巡逻员3,[32],[],会用饭圈黑话表达,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
44,24009194,剪辑阿南3,粉44_剪辑阿南3,[32],[],重视立场和态度,饭圈用户，关注热度、立场、安利效果、控评节奏和粉丝情绪。
